,k,n,i,perplexity,type
0,10,4,0,21.13463020324707,train
1,10,4,0,21.150100708007812,test
2,10,4,0,21.092235565185547,valid
3,10,4,1,21.44881820678711,train
4,10,4,1,21.321062088012695,test
5,10,4,1,21.311946868896484,valid
6,10,4,2,14.056896209716797,train
7,10,4,2,14.024930953979492,test
8,10,4,2,14.17457389831543,valid
9,10,4,3,9.206955909729004,train
10,10,4,3,9.138453483581543,test
11,10,4,3,9.355783462524414,valid
12,10,4,4,4.437441349029541,train
13,10,4,4,4.617076873779297,test
14,10,4,4,4.720119476318359,valid
15,10,4,5,4.420793056488037,train
16,10,4,5,4.64129638671875,test
17,10,4,5,4.742633819580078,valid
18,10,4,6,4.463557720184326,train
19,10,4,6,4.715547561645508,test
20,10,4,6,4.8250274658203125,valid
21,10,4,7,4.548728942871094,train
22,10,4,7,4.875307083129883,test
23,10,4,7,5.0022735595703125,valid
24,10,4,8,4.495389461517334,train
25,10,4,8,4.656833648681641,test
26,10,4,8,4.75520133972168,valid
27,10,4,9,4.441161632537842,train
28,10,4,9,4.639116287231445,test
29,10,4,9,4.734109401702881,valid
30,10,4,10,4.469749450683594,train
31,10,4,10,4.677918910980225,test
32,10,4,10,4.793961524963379,valid
33,10,4,11,4.5518479347229,train
34,10,4,11,4.780013084411621,test
35,10,4,11,4.8937907218933105,valid
36,25,4,0,25.77362060546875,train
37,25,4,0,25.81125831604004,test
38,25,4,0,25.650556564331055,valid
39,25,4,1,25.780981063842773,train
40,25,4,1,25.814788818359375,test
41,25,4,1,25.585105895996094,valid
42,25,4,2,24.919002532958984,train
43,25,4,2,24.86444091796875,test
44,25,4,2,24.90239715576172,valid
45,25,4,3,15.607961654663086,train
46,25,4,3,15.589917182922363,test
47,25,4,3,15.744544982910156,valid
48,25,4,4,4.93322229385376,train
49,25,4,4,5.481382369995117,test
50,25,4,4,5.570000171661377,valid
51,25,4,5,4.927606582641602,train
52,25,4,5,5.534036159515381,test
53,25,4,5,5.612879753112793,valid
54,25,4,6,4.93967866897583,train
55,25,4,6,5.693100929260254,test
56,25,4,6,5.817432880401611,valid
57,25,4,7,5.070936679840088,train
58,25,4,7,6.0772576332092285,test
59,25,4,7,6.208197116851807,valid
60,25,4,8,4.900330066680908,train
61,25,4,8,5.466515064239502,test
62,25,4,8,5.558979034423828,valid
63,25,4,9,4.894851207733154,train
64,25,4,9,5.519642353057861,test
65,25,4,9,5.618166923522949,valid
66,25,4,10,4.938451766967773,train
67,25,4,10,5.675608158111572,test
68,25,4,10,5.76536226272583,valid
69,25,4,11,5.062857151031494,train
70,25,4,11,5.866464138031006,test
71,25,4,11,5.961055278778076,valid
72,50,4,0,32.313846588134766,train
73,50,4,0,32.12874221801758,test
74,50,4,0,32.377315521240234,valid
75,50,4,1,32.013065338134766,train
76,50,4,1,31.72869300842285,test
77,50,4,1,31.939189910888672,valid
78,50,4,2,31.502140045166016,train
79,50,4,2,31.44578742980957,test
80,50,4,2,31.426055908203125,valid
81,50,4,3,27.485368728637695,train
82,50,4,3,27.50763511657715,test
83,50,4,3,27.944168090820312,valid
84,50,4,4,5.242908000946045,train
85,50,4,4,6.723569393157959,test
86,50,4,4,6.723180294036865,valid
87,50,4,5,5.212499618530273,train
88,50,4,5,6.856213092803955,test
89,50,4,5,6.842378616333008,valid
90,50,4,6,5.347719669342041,train
91,50,4,6,7.428152561187744,test
92,50,4,6,7.400638580322266,valid
93,50,4,7,5.4757890701293945,train
94,50,4,7,8.486456871032715,test
95,50,4,7,8.389937400817871,valid
96,50,4,8,5.2510085105896,train
97,50,4,8,6.713992595672607,test
98,50,4,8,6.714406490325928,valid
99,50,4,9,5.29626989364624,train
100,50,4,9,6.830021858215332,test
101,50,4,9,6.814075469970703,valid
102,50,4,10,5.18450927734375,train
103,50,4,10,7.36183500289917,test
104,50,4,10,7.357828617095947,valid
105,50,4,11,5.392303943634033,train
106,50,4,11,7.736476421356201,test
107,50,4,11,7.683314800262451,valid
108,100,4,0,43.71165084838867,train
109,100,4,0,43.403507232666016,test
110,100,4,0,43.59031677246094,valid
111,100,4,1,43.2927131652832,train
112,100,4,1,43.620262145996094,test
113,100,4,1,43.41903305053711,valid
114,100,4,2,43.2828254699707,train
115,100,4,2,43.10246658325195,test
116,100,4,2,43.33454513549805,valid
117,100,4,3,38.220359802246094,train
118,100,4,3,38.38572311401367,test
119,100,4,3,38.401763916015625,valid
120,100,4,4,5.30560302734375,train
121,100,4,4,9.53636646270752,test
122,100,4,4,9.203631401062012,valid
123,100,4,5,5.0152177810668945,train
124,100,4,5,10.057002067565918,test
125,100,4,5,9.64596176147461,valid
126,100,4,6,5.540985584259033,train
127,100,4,6,11.446572303771973,test
128,100,4,6,10.872849464416504,valid
129,100,4,7,7.509121894836426,train
130,100,4,7,13.39932918548584,test
131,100,4,7,12.776449203491211,valid
132,100,4,8,5.108493328094482,train
133,100,4,8,9.51245403289795,test
134,100,4,8,9.124581336975098,valid
135,100,4,9,5.493544101715088,train
136,100,4,9,9.729264259338379,test
137,100,4,9,9.319149017333984,valid
138,100,4,10,5.520939826965332,train
139,100,4,10,11.027451515197754,test
140,100,4,10,10.528350830078125,valid
141,100,4,11,5.116918087005615,train
142,100,4,11,12.992368698120117,test
143,100,4,11,12.23959732055664,valid
