,k,n,perplexity,type
0,10,2,6.611031050800282,train
1,10,2,6.578498936746789,test
2,10,2,6.638124711262876,valid
3,25,2,7.838980161393842,train
4,25,2,7.8124052903106085,test
5,25,2,7.888417530414144,valid
6,50,2,9.024662978346706,train
7,50,2,8.93291929890917,test
8,50,2,9.094480526975568,valid
9,100,2,10.749645413278632,train
10,100,2,10.68037317868013,test
11,100,2,10.828900125004656,valid
12,250,2,14.228050210352073,train
13,250,2,14.496544449649301,test
14,250,2,14.613745751010967,valid
15,500,2,19.83696162410465,train
16,500,2,21.10595131931776,test
17,500,2,21.19636177466348,valid
18,1000,2,33.56473995429018,train
19,1000,2,37.62041535606492,test
20,1000,2,37.734347157157195,valid
21,2000,2,68.54774647350402,train
22,2000,2,79.91935578926639,test
23,2000,2,79.24691055143253,valid
24,5000,2,173.61268972753925,train
25,5000,2,193.75061426294147,test
26,5000,2,191.3089726198074,valid
27,1000,1,82.31651828996712,train
28,1000,1,82.13609112684362,test
29,1000,1,82.07277521854421,valid
30,1000,3,33.77816582498071,train
31,1000,3,37.79143848794576,test
32,1000,3,37.89702171382972,valid
0,10,1,10.620251264775332,train
1,10,1,10.61143436309091,test
2,10,1,10.649972757113746,valid
3,10,3,4.24346125797727,train
4,10,3,4.233060660933268,test
5,10,3,4.2858021338650225,valid
6,25,1,13.371517185884723,train
7,25,1,13.380143296378511,test
8,25,1,13.399192240506713,valid
9,25,3,4.889310685918668,train
10,25,3,4.919549277850973,test
11,25,3,5.000654371910281,valid
12,50,1,17.25984541294929,train
13,50,1,17.13822335952079,test
14,50,1,17.27338237736968,valid
15,50,3,5.831150074237447,train
16,50,3,5.933228468607031,test
17,50,3,6.019203970929622,valid
18,100,1,23.735648112444917,train
19,100,1,23.61100569770876,test
20,100,1,23.616391021208944,valid
21,100,3,7.513949690459878,train
22,100,3,7.818352804367129,test
23,100,3,7.891969561439373,valid
24,250,1,37.82030991058574,train
25,250,1,38.18227936331536,test
26,250,1,37.92809846281867,valid
27,250,3,12.968123130159642,train
28,250,3,13.734732636496997,test
29,250,3,13.76344903701029,valid
